vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code,ablation_variant
V009,bm25,107.9,1,5,192.57,56.92,74.41,15.71,73.68,49.78,77.22,50.73,1,critical_care,<5_years,high,0,0,Full GDT
V009,cma,93.47,1,5,137.69,49.38,69.12,14.36,63.65,54.7,56.3,38.16,2,critical_care,<5_years,high,0,1,Full GDT
V009,gdt,100.65,1,5,128.8,46.4,61.3,22.89,50.74,52.83,58.73,31.94,3,critical_care,<5_years,high,0,1,Full GDT
V009,control,117.0,1,5,191.79,59.96,81.81,24.61,78.01,45.68,78.39,51.26,4,critical_care,<5_years,high,0,0,Full GDT
V010,control,92.43,1,4,187.22,57.1,81.86,21.32,70.48,57.32,69.45,42.19,1,hospital_medicine,>=5_years,high,1,0,Full GDT
V010,gdt,78.3,1,4,130.43,42.68,54.71,11.21,44.65,69.7,54.02,21.79,2,hospital_medicine,>=5_years,high,1,1,Full GDT
V010,bm25,94.02,1,4,186.68,55.37,69.89,22.32,72.34,59.76,69.27,38.66,3,hospital_medicine,>=5_years,high,1,0,Full GDT
V010,cma,73.98,1,4,147.15,44.13,52.05,16.97,53.91,62.15,49.18,30.51,4,hospital_medicine,>=5_years,high,1,1,Full GDT
V011,cma,39.23,1,2,130.4,37.41,43.34,9.09,37.88,67.43,42.27,24.48,1,internal_medicine,>=5_years,low,1,1,Full GDT
V011,control,45.17,1,2,176.81,46.7,55.85,12.46,54.08,69.03,52.74,36.04,2,internal_medicine,>=5_years,low,1,0,Full GDT
V011,bm25,49.71,1,2,199.4,44.08,55.43,11.04,44.97,69.55,51.17,32.32,3,internal_medicine,>=5_years,low,1,0,Full GDT
V011,gdt,42.36,1,2,130.12,36.97,34.9,12.66,38.5,80.9,36.07,18.78,4,internal_medicine,>=5_years,low,1,1,Full GDT
V012,gdt,18.52,1,1,130.19,31.21,28.21,10.0,31.73,88.96,19.97,8.38,1,hospital_medicine,<5_years,low,0,1,Full GDT
V012,bm25,22.36,1,1,206.93,38.39,46.02,7.34,47.57,72.88,37.85,18.7,2,hospital_medicine,<5_years,low,0,0,Full GDT
V012,cma,19.9,1,1,139.69,33.58,36.06,12.69,27.77,78.05,32.07,14.83,3,hospital_medicine,<5_years,low,0,1,Full GDT
V012,control,25.14,1,1,187.77,41.37,49.72,4.05,42.91,74.92,45.07,31.54,4,hospital_medicine,<5_years,low,0,0,Full GDT
V013,gdt,58.92,1,3,131.13,37.77,38.71,17.23,39.86,62.93,46.41,21.51,1,internal_medicine,<5_years,low,1,1,Full GDT
V013,bm25,69.9,1,3,189.77,49.37,64.87,21.95,58.51,56.57,57.39,36.94,2,internal_medicine,<5_years,low,1,0,Full GDT
V013,cma,65.16,1,3,143.59,39.62,45.17,17.94,44.12,64.34,47.67,18.49,3,internal_medicine,<5_years,low,1,1,Full GDT
V013,control,70.48,1,3,197.97,49.86,69.84,16.4,63.27,53.98,59.42,36.24,4,internal_medicine,<5_years,low,1,0,Full GDT
V014,control,50.87,1,2,183.04,47.18,55.17,16.86,47.6,68.67,59.57,35.19,1,internal_medicine,<5_years,low,0,0,Full GDT
V014,cma,43.39,1,2,151.41,35.18,45.48,12.77,35.65,62.49,31.72,22.94,2,internal_medicine,<5_years,low,0,1,Full GDT
V014,gdt,40.11,1,2,111.9,31.45,37.26,5.67,27.25,74.55,30.86,13.09,3,internal_medicine,<5_years,low,0,1,Full GDT
V014,bm25,48.35,1,2,149.18,42.01,48.02,10.23,48.41,67.31,49.89,28.22,4,internal_medicine,<5_years,low,0,0,Full GDT
V015,bm25,47.18,1,2,185.04,45.66,50.73,7.95,52.84,69.83,59.02,33.59,1,critical_care,<5_years,low,0,0,Full GDT
V015,control,41.13,1,2,203.16,46.08,45.41,17.58,57.84,75.04,49.51,31.07,2,critical_care,<5_years,low,0,0,Full GDT
V015,cma,41.24,1,2,158.93,36.98,35.72,14.91,37.65,73.74,42.32,17.52,3,critical_care,<5_years,low,0,1,Full GDT
V015,gdt,35.93,1,2,123.29,31.53,38.14,6.46,23.46,74.79,31.97,14.34,4,critical_care,<5_years,low,0,1,Full GDT
V016,control,19.37,1,1,159.73,38.69,47.96,5.87,44.32,76.09,40.82,17.07,1,emergency,>=5_years,low,0,0,Full GDT
V016,gdt,19.22,1,1,118.19,26.88,27.6,8.69,18.25,76.45,20.96,9.34,2,emergency,>=5_years,low,0,1,Full GDT
V016,cma,22.25,1,1,134.49,31.13,34.2,6.0,28.07,75.42,25.94,17.18,3,emergency,>=5_years,low,0,1,Full GDT
V016,bm25,23.64,1,1,175.66,40.64,40.95,16.75,47.58,73.12,42.62,22.81,4,emergency,>=5_years,low,0,0,Full GDT
V017,bm25,47.54,1,2,184.66,43.15,51.36,13.86,51.47,67.28,43.26,31.65,1,hospital_medicine,>=5_years,low,0,0,Full GDT
V017,cma,45.46,1,2,153.4,35.16,32.63,10.57,32.81,78.71,36.07,20.15,2,hospital_medicine,>=5_years,low,0,1,Full GDT
V017,gdt,41.25,1,2,105.95,33.63,33.11,9.04,23.83,75.35,42.2,18.23,3,hospital_medicine,>=5_years,low,0,1,Full GDT
V017,control,52.92,1,2,161.87,45.59,59.22,16.73,52.26,58.98,54.49,31.85,4,hospital_medicine,>=5_years,low,0,0,Full GDT
V018,bm25,70.45,1,3,183.31,50.84,64.33,24.57,58.89,57.12,67.51,32.64,1,internal_medicine,<5_years,low,0,0,Full GDT
V018,gdt,56.94,1,3,127.75,37.05,35.3,21.11,42.21,64.67,44.97,14.06,2,internal_medicine,<5_years,low,0,1,Full GDT
V018,cma,58.89,1,3,136.63,40.68,52.49,11.03,48.65,65.67,38.42,27.82,3,internal_medicine,<5_years,low,0,1,Full GDT
V018,control,73.47,1,3,193.52,51.04,71.43,14.76,57.81,58.67,67.56,36.03,4,internal_medicine,<5_years,low,0,0,Full GDT
V019,control,22.18,1,1,200.32,39.36,40.92,12.94,39.33,67.82,44.03,31.11,1,internal_medicine,<5_years,low,0,0,Full GDT
V019,gdt,19.23,1,1,137.38,29.53,33.08,10.5,20.48,82.58,20.28,10.26,2,internal_medicine,<5_years,low,0,1,Full GDT
V019,bm25,19.13,1,1,147.18,36.3,39.92,5.13,42.83,69.51,35.99,24.42,3,internal_medicine,<5_years,low,0,0,Full GDT
V019,cma,20.24,1,1,155.79,34.47,29.6,9.62,34.52,81.66,29.15,22.29,4,internal_medicine,<5_years,low,0,1,Full GDT
V020,gdt,20.76,1,1,127.69,27.57,26.52,4.95,19.17,83.39,20.4,10.98,1,critical_care,<5_years,low,0,1,Full GDT
V020,cma,21.55,1,1,137.81,28.26,29.03,12.76,16.67,78.19,32.06,0.86,2,critical_care,<5_years,low,0,1,Full GDT
V020,bm25,21.2,1,1,199.14,37.86,44.26,8.63,37.27,68.32,42.68,25.99,3,critical_care,<5_years,low,0,0,Full GDT
V020,control,21.99,1,1,189.43,41.68,44.61,16.49,43.49,75.0,44.22,26.26,4,critical_care,<5_years,low,0,0,Full GDT
V021,gdt,56.25,1,3,123.99,36.45,38.45,16.61,42.33,66.09,38.38,16.82,1,hospital_medicine,>=5_years,low,0,1,Full GDT
V021,control,70.06,1,3,161.83,48.19,55.9,12.91,60.21,54.76,65.18,40.16,2,hospital_medicine,>=5_years,low,0,0,Full GDT
V021,bm25,67.48,1,3,192.79,49.78,60.87,18.07,53.62,64.2,60.18,41.72,3,hospital_medicine,>=5_years,low,0,0,Full GDT
V021,cma,60.3,1,3,128.01,42.09,52.48,14.52,42.54,68.34,49.06,25.6,4,hospital_medicine,>=5_years,low,0,1,Full GDT
V022,bm25,122.61,1,5,191.09,61.97,80.47,19.8,81.53,50.38,87.98,51.69,1,critical_care,>=5_years,high,0,0,Full GDT
V022,control,122.07,1,5,182.97,61.69,81.32,26.5,74.28,50.22,87.74,50.08,2,critical_care,>=5_years,high,0,0,Full GDT
V022,cma,94.74,1,5,151.94,49.48,62.85,16.69,58.93,65.41,61.73,31.26,3,critical_care,>=5_years,high,0,1,Full GDT
V022,gdt,98.26,1,5,123.24,47.53,60.89,11.85,53.05,59.49,59.69,40.19,4,critical_care,>=5_years,high,0,1,Full GDT
V023,bm25,144.67,0,2,179.17,60.46,91.49,13.46,82.43,48.47,81.79,45.11,1,hospital_medicine,<5_years,low,0,0,Full GDT
V023,cma,40.71,1,2,131.44,35.24,42.48,7.98,30.95,69.97,38.57,21.5,2,hospital_medicine,<5_years,low,0,1,Full GDT
V023,control,45.18,1,2,185.93,41.63,46.92,14.87,45.78,62.73,46.16,33.28,3,hospital_medicine,<5_years,low,0,0,Full GDT
V023,gdt,37.93,1,2,132.58,33.3,27.88,11.15,24.59,82.47,35.1,18.62,4,hospital_medicine,<5_years,low,0,1,Full GDT
V024,bm25,220.59,0,5,202.43,69.63,100.0,33.06,100.0,21.78,100.0,62.96,1,hospital_medicine,>=5_years,high,0,0,Full GDT
V024,gdt,97.37,1,5,136.7,44.43,61.13,15.45,51.84,50.36,55.02,32.81,2,hospital_medicine,>=5_years,high,0,1,Full GDT
V024,control,115.2,1,5,173.36,60.46,84.51,18.95,78.43,56.84,74.23,49.82,3,hospital_medicine,>=5_years,high,0,0,Full GDT
V024,cma,109.14,1,5,135.54,47.96,64.0,16.7,60.02,52.52,60.78,33.74,4,hospital_medicine,>=5_years,high,0,1,Full GDT
V025,control,22.61,1,1,194.16,38.1,38.87,9.34,41.28,67.72,43.4,28.02,1,internal_medicine,>=5_years,low,0,0,Full GDT
V025,gdt,18.56,1,1,128.15,28.64,27.29,10.41,26.94,76.06,29.36,1.77,2,internal_medicine,>=5_years,low,0,1,Full GDT
V025,bm25,26.59,1,1,205.33,38.19,42.12,4.68,36.82,70.88,46.24,28.43,3,internal_medicine,>=5_years,low,0,0,Full GDT
V025,cma,17.39,1,1,143.9,30.26,27.98,9.17,22.1,76.13,30.07,16.13,4,internal_medicine,>=5_years,low,0,1,Full GDT
V026,cma,62.71,1,3,153.64,39.02,46.64,13.52,44.7,68.03,40.51,20.71,1,emergency,>=5_years,low,0,1,Full GDT
V026,control,66.04,1,3,193.79,49.45,67.62,19.23,57.42,59.95,54.05,38.41,2,emergency,>=5_years,low,0,0,Full GDT
V026,bm25,71.42,1,3,206.55,52.67,70.9,21.6,58.99,66.28,59.89,38.33,3,emergency,>=5_years,low,0,0,Full GDT
V026,gdt,61.29,1,3,122.79,41.99,44.07,11.01,42.59,77.1,51.68,25.46,4,emergency,>=5_years,low,0,1,Full GDT
V027,control,115.45,1,5,191.49,57.1,80.7,22.04,73.22,48.48,79.67,38.52,1,emergency,>=5_years,high,0,0,Full GDT
V027,cma,99.44,1,5,151.03,50.34,65.41,19.1,54.13,61.66,62.61,39.13,2,emergency,>=5_years,high,0,1,Full GDT
V027,gdt,105.85,1,5,123.73,45.86,63.71,14.18,50.2,61.32,57.35,28.43,3,emergency,>=5_years,high,0,1,Full GDT
V027,bm25,111.03,1,5,198.3,56.4,86.67,18.17,71.74,46.0,73.29,42.52,4,emergency,>=5_years,high,0,0,Full GDT
V028,cma,76.01,1,4,151.48,43.29,48.54,15.59,51.96,62.35,49.9,31.38,1,hospital_medicine,>=5_years,high,2,1,Full GDT
V028,bm25,92.96,1,4,196.53,56.42,72.75,14.62,73.6,60.16,70.04,47.33,2,hospital_medicine,>=5_years,high,2,0,Full GDT
V028,gdt,70.56,1,4,124.35,39.94,47.41,8.96,48.42,61.66,46.37,26.82,3,hospital_medicine,>=5_years,high,2,1,Full GDT
V028,control,92.72,1,4,177.04,55.56,71.47,18.72,74.88,54.36,70.6,43.36,4,hospital_medicine,>=5_years,high,2,0,Full GDT
V029,bm25,99.48,1,4,196.9,55.1,74.64,18.17,65.37,59.16,65.88,47.39,1,emergency,>=5_years,high,0,0,Full GDT
V029,cma,77.12,1,4,141.49,41.77,51.96,7.91,49.04,66.35,43.28,32.06,2,emergency,>=5_years,high,0,1,Full GDT
V029,control,91.79,1,4,182.9,54.43,73.15,18.62,63.4,55.63,74.71,41.1,3,emergency,>=5_years,high,0,0,Full GDT
V029,gdt,71.57,1,4,131.73,45.31,50.64,24.16,46.36,73.23,54.18,23.3,4,emergency,>=5_years,high,0,1,Full GDT
V030,control,25.07,1,1,188.0,36.6,42.12,13.3,35.88,70.92,37.15,20.22,1,emergency,<5_years,low,0,0,Full GDT
V030,cma,22.36,1,1,135.27,30.87,33.94,5.37,21.53,77.02,33.38,13.97,2,emergency,<5_years,low,0,1,Full GDT
V030,gdt,18.8,1,1,124.38,28.83,25.16,8.22,19.78,85.51,26.14,8.15,3,emergency,<5_years,low,0,1,Full GDT
V030,bm25,19.22,1,1,187.27,37.79,39.75,16.81,35.12,69.4,39.34,26.31,4,emergency,<5_years,low,0,0,Full GDT
V031,bm25,73.22,1,3,191.9,49.3,64.33,14.68,55.92,58.43,61.89,40.53,1,emergency,>=5_years,low,0,0,Full GDT
V031,cma,61.26,1,3,158.93,39.53,46.96,14.68,37.93,63.31,45.86,28.45,2,emergency,>=5_years,low,0,1,Full GDT
V031,gdt,60.23,1,3,124.32,37.31,40.96,10.65,37.15,70.94,39.89,24.27,3,emergency,>=5_years,low,0,1,Full GDT
V031,control,68.76,1,3,182.05,49.75,59.65,19.81,62.92,58.78,59.97,37.37,4,emergency,>=5_years,low,0,0,Full GDT
V032,control,89.36,1,4,200.1,52.86,69.28,14.16,63.35,55.64,70.97,43.76,1,internal_medicine,>=5_years,high,0,0,Full GDT
V032,cma,82.89,1,4,153.28,46.11,58.81,15.63,55.78,64.39,52.24,29.84,2,internal_medicine,>=5_years,high,0,1,Full GDT
V032,bm25,94.87,1,4,194.7,54.29,76.09,13.82,68.78,55.16,66.7,45.19,3,internal_medicine,>=5_years,high,0,0,Full GDT
V032,gdt,75.56,1,4,132.58,42.8,50.98,12.29,42.79,70.65,53.03,27.08,4,internal_medicine,>=5_years,high,0,1,Full GDT
V033,gdt,45.13,1,2,135.79,35.6,34.93,14.38,34.85,80.11,36.92,12.41,1,emergency,>=5_years,low,0,1,Full GDT
V033,control,42.44,1,2,190.59,41.6,44.64,8.3,54.44,69.99,47.37,24.87,2,emergency,>=5_years,low,0,0,Full GDT
V033,cma,39.41,1,2,143.45,36.16,33.63,6.13,40.3,74.11,42.71,20.07,3,emergency,>=5_years,low,0,1,Full GDT
V033,bm25,44.41,1,2,179.95,44.62,54.52,18.25,58.21,60.18,50.92,25.64,4,emergency,>=5_years,low,0,0,Full GDT
V034,gdt,97.44,1,5,129.52,43.67,63.24,13.58,49.16,59.91,50.16,26.0,1,hospital_medicine,<5_years,high,3,1,Full GDT
V034,bm25,119.84,1,5,187.65,62.49,80.6,21.5,84.61,50.1,86.24,51.9,2,hospital_medicine,<5_years,high,3,0,Full GDT
V034,control,117.39,1,5,196.54,62.92,83.61,21.21,83.88,51.74,81.07,56.03,3,hospital_medicine,<5_years,high,3,0,Full GDT
V034,cma,90.69,1,5,148.95,46.35,57.65,14.56,55.51,60.73,62.09,27.54,4,hospital_medicine,<5_years,high,3,1,Full GDT
V035,gdt,19.61,1,1,118.82,29.19,26.59,9.24,24.11,76.34,30.09,8.78,1,internal_medicine,<5_years,low,0,1,Full GDT
V035,cma,19.04,1,1,157.4,28.5,32.22,2.76,17.05,75.11,28.96,14.92,2,internal_medicine,<5_years,low,0,1,Full GDT
V035,bm25,19.61,1,1,219.36,39.34,37.11,12.81,45.78,76.11,39.76,24.45,3,internal_medicine,<5_years,low,0,0,Full GDT
V035,control,24.68,1,1,226.52,36.01,40.62,8.94,35.66,67.57,37.83,25.41,4,internal_medicine,<5_years,low,0,0,Full GDT
V036,bm25,49.44,1,2,202.86,46.7,52.55,16.13,51.17,69.13,56.39,34.8,1,hospital_medicine,>=5_years,low,0,0,Full GDT
V036,control,44.08,1,2,177.32,46.02,49.68,15.68,47.1,77.85,52.13,33.65,2,hospital_medicine,>=5_years,low,0,0,Full GDT
V036,gdt,37.84,1,2,127.95,33.55,33.78,13.37,29.84,80.57,27.52,16.24,3,hospital_medicine,>=5_years,low,0,1,Full GDT
V036,cma,40.39,1,2,139.36,35.43,41.21,10.78,28.23,76.58,37.81,17.96,4,hospital_medicine,>=5_years,low,0,1,Full GDT
V037,gdt,93.68,1,5,131.07,47.58,59.1,20.47,53.07,61.16,60.36,31.32,1,internal_medicine,<5_years,high,0,1,Full GDT
V037,control,118.21,1,5,205.53,60.49,85.44,21.72,80.29,44.23,78.28,52.94,2,internal_medicine,<5_years,high,0,0,Full GDT
V037,cma,101.12,1,5,145.85,50.39,69.35,22.72,58.98,54.99,62.32,34.0,3,internal_medicine,<5_years,high,0,1,Full GDT
V037,bm25,118.43,1,5,207.7,59.92,78.72,20.78,79.25,50.93,84.49,45.37,4,internal_medicine,<5_years,high,0,0,Full GDT
V038,cma,106.78,1,5,139.47,52.13,66.88,18.55,56.65,54.07,70.01,46.61,1,internal_medicine,>=5_years,high,0,1,Full GDT
V038,bm25,109.99,1,5,172.09,59.12,79.31,23.74,77.21,52.78,76.3,45.38,2,internal_medicine,>=5_years,high,0,0,Full GDT
V038,gdt,96.62,1,5,135.49,45.42,58.99,10.68,53.22,60.84,55.6,33.2,3,internal_medicine,>=5_years,high,0,1,Full GDT
V038,control,112.43,1,5,174.63,60.82,85.59,23.6,84.56,45.12,75.02,51.02,4,internal_medicine,>=5_years,high,0,0,Full GDT
V039,cma,90.85,1,5,141.49,48.56,65.22,15.48,60.19,56.86,62.84,30.75,1,hospital_medicine,<5_years,high,2,1,Full GDT
V039,bm25,110.27,1,5,186.43,58.88,79.23,19.95,76.89,47.58,85.79,43.85,2,hospital_medicine,<5_years,high,2,0,Full GDT
V039,control,104.29,1,5,203.0,55.76,77.35,21.44,74.1,49.28,70.41,42.0,3,hospital_medicine,<5_years,high,2,0,Full GDT
V039,gdt,97.14,1,5,132.03,45.37,61.52,13.22,60.2,55.16,50.99,31.11,4,hospital_medicine,<5_years,high,2,1,Full GDT
V040,cma,40.92,1,2,130.74,35.9,39.7,10.17,35.64,70.57,37.25,22.06,1,internal_medicine,<5_years,low,0,1,Full GDT
V040,control,53.2,1,2,170.59,45.11,50.21,20.37,47.14,66.8,56.18,29.98,2,internal_medicine,<5_years,low,0,0,Full GDT
V040,bm25,49.12,1,2,197.67,44.17,58.28,11.44,46.12,63.36,52.08,33.76,3,internal_medicine,<5_years,low,0,0,Full GDT
V040,gdt,38.41,1,2,125.62,34.17,36.92,13.4,30.67,75.84,35.17,13.04,4,internal_medicine,<5_years,low,0,1,Full GDT
V041,bm25,42.67,1,2,201.76,45.56,54.45,17.41,56.59,69.04,45.87,30.02,1,critical_care,<5_years,low,0,0,Full GDT
V041,gdt,40.68,1,2,131.7,35.04,40.12,10.53,33.17,73.18,38.33,14.94,2,critical_care,<5_years,low,0,1,Full GDT
V041,cma,40.05,1,2,142.99,34.4,37.73,13.93,35.23,70.04,38.98,10.48,3,critical_care,<5_years,low,0,1,Full GDT
V041,control,48.16,1,2,197.66,42.9,50.62,17.86,45.94,64.66,52.47,25.85,4,critical_care,<5_years,low,0,0,Full GDT
V042,cma,61.95,1,3,137.52,39.51,48.54,14.36,42.09,68.31,44.12,19.66,1,internal_medicine,<5_years,low,0,1,Full GDT
V042,control,69.24,1,3,193.2,48.03,60.14,22.72,55.94,57.43,58.68,33.25,2,internal_medicine,<5_years,low,0,0,Full GDT
V042,bm25,66.37,1,3,207.75,45.23,48.09,16.15,58.11,61.66,49.58,37.81,3,internal_medicine,<5_years,low,0,0,Full GDT
V042,gdt,58.31,1,3,138.79,40.11,44.17,17.84,41.73,74.03,35.03,27.87,4,internal_medicine,<5_years,low,0,1,Full GDT
V043,cma,99.36,1,5,144.71,51.73,63.42,23.93,64.68,57.93,63.79,36.6,1,critical_care,<5_years,high,0,1,Full GDT
V043,control,108.28,1,5,190.84,58.96,82.29,22.65,77.71,53.3,74.23,43.57,2,critical_care,<5_years,high,0,0,Full GDT
V043,gdt,92.54,1,5,132.42,47.64,62.5,15.72,53.33,68.48,59.91,25.88,3,critical_care,<5_years,high,0,1,Full GDT
V043,bm25,215.72,0,5,199.37,70.5,100.0,30.28,100.0,24.7,100.0,68.0,4,critical_care,<5_years,high,0,0,Full GDT
V044,cma,107.63,1,5,141.51,51.41,65.88,18.62,67.63,56.44,60.69,39.2,1,critical_care,<5_years,high,0,1,Full GDT
V044,gdt,95.4,1,5,124.19,46.07,61.24,26.1,52.53,60.68,58.9,16.95,2,critical_care,<5_years,high,0,1,Full GDT
V044,bm25,120.8,1,5,188.91,58.61,84.36,19.59,76.51,47.79,77.68,45.72,3,critical_care,<5_years,high,0,0,Full GDT
V044,control,131.49,1,5,190.33,64.24,88.86,26.24,76.97,45.62,91.24,56.52,4,critical_care,<5_years,high,0,0,Full GDT
V045,cma,20.71,1,1,135.23,31.27,35.55,3.46,26.63,76.81,26.0,19.13,1,emergency,>=5_years,low,0,1,Full GDT
V045,control,23.52,1,1,171.98,38.56,36.87,7.71,40.24,79.53,44.33,22.7,2,emergency,>=5_years,low,0,0,Full GDT
V045,gdt,19.67,1,1,121.82,31.26,38.31,12.5,14.75,86.8,26.65,8.55,3,emergency,>=5_years,low,0,1,Full GDT
V045,bm25,22.32,1,1,188.56,36.37,38.33,5.61,39.12,72.14,41.36,21.65,4,emergency,>=5_years,low,0,0,Full GDT
V046,cma,36.9,1,2,157.9,36.51,35.89,10.79,36.9,78.67,36.77,20.02,1,emergency,<5_years,low,0,1,Full GDT
V046,bm25,52.29,1,2,169.28,45.78,52.74,13.07,54.77,66.01,49.28,38.82,2,emergency,<5_years,low,0,0,Full GDT
V046,control,46.3,1,2,191.14,45.39,51.23,11.91,52.18,70.06,51.43,35.5,3,emergency,<5_years,low,0,0,Full GDT
V046,gdt,41.23,1,2,134.71,33.74,32.17,5.33,35.32,78.62,32.63,18.35,4,emergency,<5_years,low,0,1,Full GDT
V047,gdt,90.52,1,5,132.8,45.15,57.8,18.25,46.54,63.25,60.9,24.16,1,hospital_medicine,<5_years,high,0,1,Full GDT
V047,cma,107.68,1,5,151.21,52.9,68.2,26.22,63.39,57.37,66.78,35.43,2,hospital_medicine,<5_years,high,0,1,Full GDT
V047,bm25,119.55,1,5,190.09,57.82,77.22,19.24,72.54,47.34,84.5,46.07,3,hospital_medicine,<5_years,high,0,0,Full GDT
V047,control,106.18,1,5,190.7,55.62,78.53,17.16,73.31,48.08,76.4,40.21,4,hospital_medicine,<5_years,high,0,0,Full GDT
V048,control,20.67,1,1,173.32,36.31,41.08,11.05,39.85,65.28,37.04,23.57,1,emergency,>=5_years,low,0,0,Full GDT
V048,gdt,18.03,1,1,115.66,26.75,21.03,6.53,29.55,86.41,14.24,2.76,2,emergency,>=5_years,low,0,1,Full GDT
V048,cma,23.2,1,1,149.44,31.02,23.15,9.82,23.42,87.64,26.83,15.25,3,emergency,>=5_years,low,0,1,Full GDT
